StockName,Funds
李宁[02331],"汇添富中盘价值精选混合C,南方香港成长"
汇川技术[300124],"银华中小盘精选混合,嘉实新兴产业"
万华化学[600309],"兴全合宜混合（LOF）A,兴全合润混合"
欧派家居[603833],"广发稳健增长混合A类,兴全趋势"
晶晨股份[688099],"兴全合宜混合（LOF）A,兴全合润混合"
双汇发展[000895],"天弘中证食品饮料指数A,广发稳健增长混合A类"
紫光国微[002049],"交银新成长混合,兴全趋势"
绝味食品[603517],"交银新成长混合,交银新生活力混合"
招商银行[03968],"易方达亚洲精选,易方达蓝筹精选混合"
北方华创[002371],"富国互联科技股票,富国创新科技混合"
国瓷材料[300285],"富国天惠成长LOF,嘉实新兴产业"
平安银行[000001],"兴全合宜混合（LOF）A,兴全合润混合"
顺丰控股[002352],"交银新成长混合,交银新生活力混合"
海大集团[002311],"景顺长城鼎益混合(LOF),景顺长城新兴成长"
青岛啤酒[600600],"富国天惠成长LOF,工银文体产业股票"
恒生电子[600570],"银华中小盘精选混合,易方达中小盘混合"
兆易创新[603986],"万家行业优选混合,银华中小盘精选混合"
青岛啤酒股份[00168],"汇添富中盘价值精选混合C,富国中国中小盘混合"
安踏体育[02020],"南方香港成长,富国中国中小盘混合"
锦江酒店[600754],"兴全合宜混合（LOF）A,兴全合润混合"
三安光电[600703],"富国互联科技股票,兴全趋势"
智飞生物[300122],"中欧医疗健康混合A,富国天惠成长LOF"
恒力石化[600346],"中欧新蓝筹混合A,广发小盘成长混合（LOF）"
杰瑞股份[002353],"富国天惠成长LOF,富国高新技术产业"
金山办公[688111],"富国互联科技股票,富国创新科技混合"
璞泰来[603659],"富国互联科技股票,信达澳银新能源产业"
华润啤酒[00291],"兴全合宜混合（LOF）A,富国中国中小盘混合"
海尔智家[600690],"兴全合宜混合（LOF）A,兴全合润混合"
长春高新[000661],"中欧医疗健康混合A,易方达新收益A"
香港交易所[00388],"易方达亚洲精选,易方达蓝筹精选混合"
宁波银行[002142],"富国天惠成长LOF,中欧新蓝筹混合A"
法拉电子[600563],"交银优势行业混合,信达澳银新能源产业"
信义能源[03868],富国中国中小盘混合
周黑鸭[01458],南方香港成长
华兰生物[002007],易方达中小盘混合
山东赫达[002810],交银优势行业混合
博思软件[300525],鹏华新兴产业混合
我武生物[300357],广发稳健增长混合A类
